station_id,administrative_level_1,administrative_level_2,elevation,latitude,longitude,name,status
87497,Entre Ríos,Gualeguaychú,21,-33.0125,-58.6108,Gualeguaychú Aero,N
87616,La Pampa,Loventué,312,-36.2126,-65.4317,Victorica,N
87797,Buenos Aires,NA,3,-40.7627,-62.2693,Faro Segunda Barranca,N
87470,Santa Fe,San Martín,96,-32.1921,-61.712,El Trébol,N
87121,Tucumán,Cruz Alta,450,-26.8373,-65.1084,Tucumán Aero,N
87436,San Luis,La Capital,713,-33.2745,-66.3514,San Luis Aero,N
87860,Chubut,Escalante,46,-45.7923,-67.4619,Comodoro Rivadavia Aero,N
87688,Buenos Aires,Tres Arroyos,115,-38.3595,-60.2845,Tres Arroyos,N
87582,Ciudad Autónoma de Buenos Aires,Distrito Federal,6,-34.5589,-58.4198,Aeroparque Buenos Aires,QC
87563,Buenos Aires,Las Flores,38,-36.0415,-59.1371,Las Flores Aero,N
9987014,Buenos Aires,Bragado,50,-35.11,-60.49,Bragado INTA,N
87574,Buenos Aires,Morón,24,-34.6712,-58.6382,Morón Aero,N
87645,Buenos Aires,Tandil,175,-37.2412,-59.2332,Tandil Aero,N
87448,San Luis,General Pedernera,486,-33.7181,-65.3737,Villa Reynolds Aero,N
87359,Santa Fe,Castellanos,100,-31.18,-61.55,Rafaela INTA,N
87896,Santa Cruz,Deseado,80,-47.7337,-65.9078,Puerto Deseado Aero,N
87047,Salta,Capital,1221,-24.8443,-65.4757,Salta Aero,N
87814,Chubut,Paso de Indios,460,-43.8618,-69.0474,Paso de Indios,N
87480,Santa Fe,Rosario,25,-32.9185,-60.7815,Rosario Aero,N
87405,Mendoza,Las Heras,1891,-32.5946,-69.3401,Uspallata,N
87158,Chaco,San Fernando,54,-27.42,-58.93,Colonia Benítez INTA,N
87283,Corrientes,Mercedes,100,-29.17,-58.02,Mercedes INTA (Ctes.),N
87540,Buenos Aires,Trenque Lauquen,95,-35.969,-62.7261,Trenque Lauquen,N
87761,Neuquén,Lacar,779,-40.0805,-71.1442,Chapelco Aero,N
87544,Buenos Aires,Pehuajó,87,-35.8407,-61.8598,Pehuajó Aero,N
87444,San Luis,Junín,620,-32.379,-65.1799,Santa Rosa de Conlara Aero,N
87313,San Juan,Angaco,615,-31.37,-68.32,San Juan INTA,N
87328,Córdoba,San Javier,569,-31.9513,-65.149,Villa Dolores Aero,N
87571,Buenos Aires,Tres de Febrero,12,-34.603,-58.6126,El Palomar Aero,N
87576,Buenos Aires,Esteban Echeverría,20,-34.818600000000004,-58.5423,Ezeiza Aero,N
87558,Buenos Aires,Mercedes,40,-34.6608,-59.4369,Mercedes,N
87784,Río Negro,San Antonio,20,-40.7572,-65.0309,San Antonio Oeste Aero,N
87097,Misiones,Iguazú,270,-25.7309,-54.4775,Iguazú Aero,N
87217,La Rioja,Capital,429,-29.3825,-66.7933,La Rioja Aero,N
87880,Santa Cruz,Rió Chico,357,-48.7824,-70.1627,Gobernador Gregores Aero,N
87936,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ushuaia,105,-54.7,-67.25,Tolhuin,N
87374,Entre Ríos,Paraná,78,-31.7904,-60.4842,Paraná Aero,N
87803,Chubut,Futaleufú,797,-42.9059,-71.145,Esquel Aero,N
87305,San Juan,Jáchal,1175,-30.2294,-68.739,Jáchal,N
87852,Santa Cruz,Lago Buenos Aires,429,-46.538,-70.9853,Perito Moreno Aero,N
87774,Río Negro,Veinticinco de Mayo,888,-41.2439,-68.7065,Maquinchao,N
87213,La Rioja,Chilecito,945,-29.2184,-67.4425,Chilecito Aero,N
